timestamp	incident_number	level	units	location	incident_type
7/4/2017 11:58:12 PM	F170066963	1	E11	12th Av Sw / Sw Myrtle St	Brush Fire
7/4/2017 11:55:16 PM	F170066962	1	E28	S Juneau St / 39th Av S	Brush Fire
7/4/2017 11:53:50 PM	F170066961	1	E37 M32	7341 California Av Sw	Medic Response
7/4/2017 11:49:33 PM	F170066959	1	E6	19th Av S / S College St	Brush Fire
7/4/2017 11:47:55 PM	F170066958	1	E5	900 Lenora St	Aid Response
7/4/2017 11:46:04 PM	F170066955	1	E28	M L King Jr Way S / S Alaska St	Brush Fire
7/4/2017 11:45:05 PM	F170066952	1	A25	1249 16th Av E	Aid Response
7/4/2017 11:42:26 PM	F170066949	1	E41	Thorndyke Av W / W Blaine St	Brush Fire W/Exp.
7/4/2017 11:43:03 PM	F170066950	1	A5 M1	500 5th Av	Medic Response
7/4/2017 11:42:26 PM	F170066949	1	E2 L8 SAFT2 B4	Thorndyke Av W / W Blaine St	Brush Fire W/Exp.
7/4/2017 11:42:26 PM	F170066949	1	E8	Thorndyke Av W / W Blaine St	Brush Fire W/Exp.
7/4/2017 11:39:17 PM	F170066945	1	E24	12044 Fremont Av N	Furnace Problem
7/4/2017 11:35:56 PM	F170066943	1	L9	4525 5th Av Ne	Aid Response
7/4/2017 11:36:14 PM	F170066942	1	A2	3250 42nd Av W	Aid Response
7/4/2017 11:35:00 PM	F170066940	1	E30	3333 GALE PL S	Dumpster Fire
7/4/2017 11:34:44 PM	F170066939	1	E11	8th Av Sw / Sw Trenton St	Brush Fire
7/4/2017 11:33:53 PM	F170066938	1	M18 E18	8498 Seaview Pl Nw	Medic Response
7/4/2017 11:31:22 PM	F170066936	1	B5 L3 E6 SAFT2	12th Av S / S Judkins St	Brush Fire W/Exp.
7/4/2017 11:33:14 PM	F170066937	1	E20	34th Av W / W Emerson St	Aid Response
7/4/2017 11:31:22 PM	F170066936	1	E13	12th Av S / S Judkins St	Brush Fire W/Exp.
7/4/2017 11:31:42 PM	F170066935	1	E9	TROLL AV N / N 36TH ST	Brush Fire
7/4/2017 11:31:31 PM	F170066934	1	E29	5851 Sw Lander St	Brush Fire
7/4/2017 11:30:18 PM	F170066933	1	E22	N Pacific St / Sunnyside Av N	Aid Response
7/4/2017 11:27:02 PM	F170066932	1	E17	4701 Roosevelt Way Ne	1RED 1 Unit
7/4/2017 11:25:23 PM	F170066931	1	E35	8498 Seaview Pl Nw	Aid Response
7/4/2017 11:22:07 PM	F170066929	1	E30	25th Av S / S Holgate St	Brush Fire
7/4/2017 11:16:47 PM	F170066925	1	M16	5010 39th Av Ne	Medic Response
7/4/2017 11:18:16 PM	F170066927	1	A10	1st Av / Columbia St	Aid Response
7/4/2017 11:16:47 PM	F170066925	1	E38	5010 39th Av Ne	Medic Response
