timestamp	incident_number	level	units	location	incident_type
6/25/2017 11:48:29 PM	F170063453	1	A14	Airport Way S / S Spokane St	Aid Response
6/25/2017 11:39:39 PM	F170063452	1	M28	6538 Shaffer Av S	Medic Response
6/25/2017 11:39:39 PM	F170063452	1	E28	6538 Shaffer Av S	Medic Response
6/25/2017 11:17:46 PM	F170063448	1	A25	1410 E HOWELL ST	Medic Response, 6 per Rule
6/25/2017 11:17:46 PM	F170063448	1	L10 M1 A5	1410 E HOWELL ST	Medic Response, 6 per Rule
6/25/2017 11:11:11 PM	F170063447	1	L1	1525 4th Av	Water Job Minor
6/25/2017 10:35:49 PM	F170063431	1	M10	Pine St / 6th Av	Medic Response
6/25/2017 11:02:16 PM	F170063444	1	L10	13th Av / E Madison St	Medic Response
6/25/2017 11:02:16 PM	F170063444	1	E25 M1	13th Av / E Madison St	Medic Response
6/25/2017 11:01:42 PM	F170063443	1	E5	720 Taylor Av N	Aid Response
6/25/2017 10:59:45 PM	F170063442	1	E32	6420 California Av Sw	Aid Response
6/25/2017 10:58:54 PM	F170063441	1	E24	12505 Greenwood Av N	Aid Response
6/25/2017 10:58:32 PM	F170063440	1	A10	3rd Av / Spring St	Aid Response
6/25/2017 10:51:49 PM	F170063437	1	A25	100 Melrose Av E	Aid Response
6/25/2017 10:51:12 PM	F170063436	1	A2	109 Eastlake Av E	Aid Response
6/25/2017 10:46:50 PM	F170063434	1	E40	11013 Alton Av Ne	Aid Response Yellow
6/25/2017 10:35:49 PM	F170063431	1	E2 M10	Pine St / 6th Av	Medic Response
6/25/2017 10:34:54 PM	F170063430	1	A14	S Hudson St / Colorado Av S	Aid Response
6/25/2017 10:30:00 PM	F170063429	1	E13	3405 19th Av S	Aid Response
6/25/2017 10:16:18 PM	F170063427	1	E29	63RD AV SW / ALKI AV SW	Aid Response
6/25/2017 10:12:49 PM	F170063426	1	A2	1620 4th Av	Aid Response
6/25/2017 10:12:53 PM	F170063425	1	B5 E5 L4 E2	300 Pine St	AFA4 - Auto Alarm 2 + 1 + 1
6/25/2017 10:01:29 PM	F170063421	1	E28	4606 S Raymond Pl	Aid Response
6/25/2017 9:59:55 PM	F170063420	1	L9 E35	13520 Linden Av N	Alarm Bell
6/25/2017 10:00:01 PM	F170063419	1	A25	732 18th Av E	Aid Response
6/25/2017 9:58:48 PM	F170063418	1	E18	1753 Nw 56th St	Aid Response
6/25/2017 9:58:21 PM	F170063416	1	E41	2402 Montavista Pl W	Automatic Medical Alarm
6/25/2017 9:53:01 PM	F170063414	1	A14	S Spokane St / 5th Av S	Aid Response
6/25/2017 9:52:18 PM	F170063413	1	E11	7219 17th Av Sw	Unk Odor
6/25/2017 9:48:15 PM	F170063412	1	L5 E24	12505 Greenwood Av N	Auto Fire Alarm
6/25/2017 9:47:31 PM	F170063411	1	E17	Ne 47th St / 12th Av Ne	Aid Response
6/25/2017 9:45:38 PM	F170063409	1	A5	725 9th Av	Aid Response
6/25/2017 9:28:01 PM	F170063404	1	E25	325 9th Av	Brush Fire
6/25/2017 9:35:19 PM	F170063408	1	M18 E35	3115 Nw 77th St	Medic Response
6/25/2017 9:33:43 PM	F170063407	1	L9	111 Ne 45th St	Aid Response
6/25/2017 9:18:57 PM	F170063394	1	E39	Ne 110th St / Sand Point Way Ne	Assault w/Weap 7 per Rule
6/25/2017 9:28:01 PM	F170063404	1	E10	325 9th Av	Brush Fire
6/25/2017 9:26:45 PM	F170063402	1	E34	2161 E Interlaken Blvd	Aid Response
6/25/2017 9:25:15 PM	F170063401	1	E20	2206 11th Av W	Unk Odor
6/25/2017 9:23:24 PM	F170063399	1	L10	1321 Seneca St	Rescue Elevator
6/25/2017 9:22:10 PM	F170063398	1	E17	15TH AV NE / NE 50TH ST	Aid Response
6/25/2017 9:20:02 PM	F170063396	1	E31	927 N 100th St	Aid Response
